Site_ID,Name,Hierarchy,Primary_Typology,Secondary_Typology,Specific_Use,Site_Access,Site_Owner,Whole_Part,Site_Area_Ha,Ward
151,Barton Green open space,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Outdoor Gym,Freely accessible to public,Nottingham City Council,Part of larger site,0.0149,Clifton West
218,Independent Street Open Space,Neighbourhood,Provision for Children and Young People,,Outdoor Gym,Freely accessible to public,Nottingham City Council,Part of larger site,0.015,Radford
426,Coppice Recreation Ground,Neighbourhood,Parks and Gardens,,Surfaced Areas and Ball Courts,Freely accessible to public,Nottingham City Council,Part of larger site,0.014,Mapperley
428,Coppice Recreation Ground,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0143,Mapperley
66,Lenton Abbey Park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Parks,Freely accessible to public: opening hours,Nottingham City Council,Part of larger site,0.0136,Lenton & Wollaton East
350,St Anns Wells Road Open Space,Local,Parks and Gardens,Provision for Children and Young People,Outdoor Gym,Freely accessible to public,Nottingham City Council,Part of larger site,0.0127,St Ann's
129,Wollaton Park,Destination,Parks and Gardens,Provision for Children and Young People,Parks,Freely accessible to public: opening hours,Nottingham City Council,Part of larger site,0.0117,Wollaton West
303,Pearmain Park & Mickleborough Railway Cutting,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0108,Mapperley
498,Stonebridge City Farm,,"Allotments, Community Gardens and Urban Farms",Provision for Children and Young People,Urban Farms,Freely accessible to public: opening hours,Nottingham City Council,Part of larger site,0.0109,St Ann's
138,Silverdale Open Space,Neighbourhood,Natural and Semi Natural,Provision for Children and Young People,Outdoor Gym,Freely accessible to public,Nottingham City Council,Part of larger site,0.0105,Clifton West
527,City Heights Open Space,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0107,Mapperley
2452,Coleby Avenue Enclosure No. 1 - 1 (Abbey Bridge),Local,Amenity Green Space,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0097,Lenton & Wollaton East
163,Heathfield Park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Outdoor Gym,Freely accessible to public,Nottingham City Council,Part of larger site,0.0087,Basford
123,Brewsters Road play area,Neighbourhood,Provision for Children and Young People,,Equipped Children's Playground,Restricted access: other,Metropolitan Housing,Part of larger site,0.008,Mapperley
112,Fearnleigh (aka Pennant) Park,Local,Parks and Gardens,,Parks,Freely accessible to public,Nottingham City Council,Part of larger site,0.0082,Basford
322,Bridlington Street,Local,Provision for Children and Young People,,Parks,Freely accessible to public,Nottingham City Council,Part of larger site,0.0083,Hyson Green & Arboretum
239,Seaford Avenue Open Space,Local,Parks and Gardens,Provision for Children and Young People,Surfaced Areas and Ball Courts,Freely accessible to public,Nottingham City Council,Part of larger site,0.0079,Wollaton West
358,Woodfield Road Recreation Ground,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Parks,Freely accessible to public,Nottingham City Council,Part of larger site,0.0073,Aspley
308,Western Boulevard Play Area,Local,Provision for Children and Young People,,Equipped Children's Playground,Freely accessible to public: opening hours,Nottingham City Council,Part of larger site,0.0066,Leen Valley
264,Birchover Recreation Ground,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Outdoor Gym,Freely accessible to public,Nottingham City Council,Part of larger site,0.0073,Bilborough
249,Gawthorne Street Open Space,Local,Provision for Children and Young People,,Outdoor gym equipment,Freely accessible to public,Nottingham City Council,Part of larger site,0.0074,Berridge
155,Woodthorpe Grange Park,City,Parks and Gardens,Provision for Children and Young People,Parks,Freely accessible to public,Nottingham City Council,Part of larger site,0.0064,Sherwood
1138,Chippenham Road Swimming Pool - 4,Local,Amenity Green Space,,Grass,No access information,Nottingham City Council,Part of larger site,0.0064,Bestwood
616,Riber Crescent,,Provision for Children and Young People,,,Freely accessible to public,,Part of larger site,0.0056,Basford
173,Stockhill Park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Parks,Freely accessible to public,Nottingham City Council,Part of larger site,0.0057,Basford
175,Stockhill Park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Football,Freely accessible to public,,Part of larger site,0.0046,Basford
116,Strelley Recreation Ground,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Outdoor Gym,Freely accessible to public,,Part of larger site,0.0014,Bilborough
2489,Shipstone Street Open Space,Local,Parks and Gardens,Provision for Children and Young People,Outdoor Gym,Freely accessible to public,Nottingham City Council,Part of larger site,0.0077,Berridge
2404,Greenwood Meadows F.C,,Outdoor Sports Facility,,Football,No access information,,Whole Site,4.0853,Lenton & Wollaton East
1835,Nottm Business Park open space - 1, ,Amenity Green Space,, ,No access information,Unknown,Whole Site,2.9908,Bilborough
1247,Daleside Road,,Amenity Green Space,,,No access information,,Whole Site,2.6323,Dales
2292,Holme Farm Graslands and Woodlands - 2,Neighbourhood,Natural and Semi Natural,,Grassland / Scrub,No public access,Nottingham City Council,Whole Site,2.2398,Clifton West
408,Radford Bridge Former Allotments Public Open Space,Local,Natural and Semi Natural,,Grassland,No public access,Private,Whole Site,1.8628,Wollaton West
2258,University of Nottingham - University Park, ,Institutional,,Parkland,No access information, ,Whole Site,64.3309,Lenton & Wollaton East
665,Agricultural land north of Silverdale Open Space, ,Agricultural,,Arable,No access information,Nottingham City Council,Whole Site,19.4427,Clifton West
662,Agricultural East of Fairham Brook, ,Agricultural,,Arable,No access information,Unknown,Whole Site,16.7925,Clifton East
2394,Colwick Racecourse Playing Fields,Neighbourhood,Outdoor Sports Facility,,Sports Turf,No access information,Nottingham City Council,Whole Site,16.0214,Dales
663,Agricultural land near Burrows Farm, ,Agricultural,,Mixed use,No access information,Nottingham City Council,Whole Site,15.7002,Clifton West
673,Fairham Brook 1 (North of Fairham Bridge), ,Agricultural,,Arable,No access information,Nottingham City Council,Whole Site,14.5472,Clifton East
2256,University of Nottingham - Highfields Playing Field,Local,Institutional,,Playing Field,No access information,University of Nottingham,Whole Site,13.144,Lenton & Wollaton East
669,Agricultural land West of Silverdale, ,Agricultural,,Arable,No access information,Unknown,Whole Site,11.0671,Clifton West
905,Boots Open Space - 2, ,Amenity Green Space,, ,No access information,Unknown,Whole Site,10.8788,Lenton & Wollaton East
2255,Trinity R.C. School - 3,Local,Institutional,,School,No access information,Nottingham City Council,Whole Site,10.8332,Leen Valley
2257,University of Nottingham - Jubilee Campus, ,Institutional,,Parkland,No access information, ,Whole Site,10.7413,Lenton & Wollaton East
515,New Aspley Gardens (Private),,"Allotments, Community Gardens and Urban Farms",,Private Allotments,No public access,Private,Whole Site,9.7972,Leen Valley
2318,Padstow School Site,Neighbourhood,Natural and Semi Natural,,Grassland,No public access,Nottingham City Council,Whole Site,9.3027,Bestwood
2149,Castle College - Carlton Road, ,Institutional,,Grassland,No access information,Nottingham City Council,Whole Site,9.2752,St Ann's
2183,High School Sports Ground,Local,Institutional,,School,No access information,Nottingham City Council,Whole Site,8.1844,Basford
906,Boots Open Space - 3, ,Amenity Green Space,, ,No access information,Unknown,Whole Site,6.7927,Lenton & Wollaton East
234,Stirling Grove play area,Local,Provision for Children and Young People,,Parks,Freely accessible to public,Nottingham City Council,Part of larger site,0.0047,Clifton East
256,Hedley Villas,Local,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0048,Berridge
438,Victoria Park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public: opening hours,Nottingham City Council,Part of larger site,0.0046,St Ann's
480,Peggy's Park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,,Part of larger site,0.0046,Sherwood
359,Woodfield Road Recreation Ground,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Parks,Freely accessible to public,Nottingham City Council,Part of larger site,0.0036,Aspley
483,Peggy's Park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,,Part of larger site,0.004,Sherwood
223,Lenton Recreation Ground,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Parks,Freely accessible to public,Nottingham City Council,Part of larger site,0.0043,Lenton & Wollaton East
242,Greenway Community Centre,Local,Parks and Gardens,Provision for Children and Young People,Parks,Freely accessible to public,Nottingham City Council,Part of larger site,0.0041,Dales
311,Western Boulevard Play Area,Local,Provision for Children and Young People,,Equipped Children's Playground,Freely accessible to public: opening hours,Nottingham City Council,Part of larger site,0.0044,Leen Valley
114,Fearnleigh (aka Pennant) Park,Local,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0028,Basford
479,Peggy's Park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Skate Park,Freely accessible to public,Nottingham City Council,Part of larger site,0.0031,Sherwood
360,Woodfield Road Recreation Ground,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Parks,Freely accessible to public,Nottingham City Council,Part of larger site,0.003,Aspley
86,King Edward Park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Outdoor Gym,Freely accessible to public,Nottingham City Council,Part of larger site,0.0024,St Ann's
189,Ruddington Lane park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,Nottingham City Council,Part of larger site,0.0024,Clifton West
200,Wallen Street Open Space,Local,Parks and Gardens,Provision for Children and Young People,Parks,Freely accessible to public,Nottingham City Council,Part of larger site,0.0016,Hyson Green & Arboretum
204,John Carroll Leisure Centre,Local,Provision for Children and Young People,,Parks,Freely accessible to public,Nottingham City Council,Part of larger site,0.0025,Radford
289,Chediston Vale Park,Local,Parks and Gardens,Provision for Children and Young People,Outdoor Gym,Freely accessible to public,Nottingham City Council,Part of larger site,0.0021,Bestwood
287,Chediston Vale Park,Local,Parks and Gardens,Provision for Children and Young People,Parks,Freely accessible to public,Nottingham City Council,Part of larger site,0.0016,Bestwood
177,Stockhill Park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Equipped Children's Playground,Freely accessible to public,,Part of larger site,0.0008,Basford
179,Stockhill Park,Neighbourhood,Parks and Gardens,Provision for Children and Young People,Tennis,Freely accessible to public,,Part of larger site,0.0005,Basford
511,Vernon Park,City,Parks and Gardens,Provision for Children and Young People,Outdoor Gym,Freely accessible to public,Nottingham City Council,Part of larger site,0.0012,Basford
2298,Lenton Triangle,Neighbourhood,Natural and Semi Natural,,Grassland / Scrub,No public access,Unknown,Whole Site,4.5936,Meadows
2392,Clifton Woods Playing Field,Local,Outdoor Sports Facility,,Playing Fields,No access information,Nottingham City Council,Whole Site,4.5709,Clifton West
2207,Nottingham Academy, ,Institutional,,Institutional,No access information,Nottingham City Council,Whole Site,4.1245,Dales
2446,Hine Hall open space,Neighbourhood,Parks and Gardens,,Gardens,No public access,,Whole Site,4.1164,Mapperley
2172,Grassington Road Playing Field, ,Institutional,,Institutional,No access information,Nottingham Girls High,Whole Site,3.8574,Leen Valley
2208,Nottingham Bluecoat School,Local,Institutional,,School,No access information,Nottingham City Council,Whole Site,3.7784,Leen Valley
2205,New College Nottingham Open Space, ,Institutional,,College,No access information,Unknown,Whole Site,3.7517,Basford
2461,Nottingham Canal 6 - 2,City,Natural and Semi Natural,,Green Corridor,Freely accessible to public,Nottingham City Council,Whole Site,3.7196,Lenton & Wollaton East
674,Land south of Blenheim Farm, ,Agricultural,,Mixed use,No access information,Unknown,Whole Site,3.6851,Bulwell
2459,Fairham College,Local,Institutional,,College,No access information,Nottingham City Council,Whole Site,3.568,Clifton East
2411,Highfields Pitches Beeston Sidings,,Outdoor Sports Facility,,Football,No access information,Nottingham City Council,Whole Site,3.382,Lenton & Wollaton East
904,Boots Open Space - 1, ,Amenity Green Space,, ,No access information,Unknown,Whole Site,3.2473,Lenton & Wollaton East
2390,Clifton Football Club,Local,Outdoor Sports Facility,,Football ,No access information,Nottingham City Council,Whole Site,3.2013,Clifton East
664,Agricultural land north of M1, ,Agricultural,,Grassland,No access information,Unknown,Whole Site,3.1703,Bilborough
1613,Larkhill Retirement Village Clifton,,Amenity Green Space,,,No access information,,Whole Site,3.1387,Clifton West
340,Robin's Wood,Neighbourhood,Natural and Semi Natural,,Woodland,No public access,Nottingham City Council,Whole Site,3.0277,Leen Valley
2196,Melbury School - 2,Local,Institutional,,School,No access information,Nottingham City Council,Whole Site,1.3943,Bilborough
2217,Portland School,Local,Institutional,,School,No access information,Nottingham City Council,Whole Site,3.0237,Bilborough
2170,Glade Hill School, ,Institutional,,Playing Field,No access information,Nottingham City Council,Whole Site,2.9306,Bestwood
588,Colwick Woods - West View - 2,City,Natural and Semi Natural,,Woodland,No public access,Nottingham City Council,Whole Site,2.898,Dales
2276,Colwick Racecourse Pond,City,Natural and Semi Natural,,Wetland,No public access,Nottingham City Council,Whole Site,2.7637,Dales
2398,"Dunkirk F.C., Ron Steel Sports Ground",,Outdoor Sports Facility,,Football,No access information,Nottingham City Council,Whole Site,2.7153,Lenton & Wollaton East
2110,Wollaton Vale road verges,,Amenity Green Space,,Grass,No access information,,Whole Site,2.6483,Wollaton West
2287,Fairham Brook 2,City,Natural and Semi Natural,,Green Corridor,No public access,Nottingham City Council,Whole Site,2.5796,Clifton East
2471,Southglade Infants school,Local,Institutional,,School,No access information,Nottingham City Council,Whole Site,2.5455,Bestwood
2194,Margaret Glen Bott School,Local,Institutional,,School,No access information,Nottingham City Council,Whole Site,2.5175,Wollaton West
2259,University of Nottingham Kings Meadow Campus, ,Institutional,,Parkland,No access information,,Whole Site,2.429,Lenton & Wollaton East
2176,Hadden Park school, ,Institutional,,Parkland,No access information,Nottingham City Council,Whole Site,6.775,Bilborough
1041,Westbury School - LAPP site,Local,Institutional,,School,No access information,Nottingham City Council,Whole Site,6.0233,Bilborough
2167,Farnborough School - new open space in planning 2012, ,Institutional,,Playing Field,No access information, ,Whole Site,5.7173,Clifton East
671,Clifton Agricultural Land - 1, ,Agricultural,,Mixed use,No access information,Nottingham City Council,Whole Site,5.3528,Clifton West
676,Strelley Hall estate, ,Agricultural,,Grassland,No access information,Unknown,Whole Site,4.8826,Bilborough
